Event,Session,Competitor,CompetitorName,Sector1,Sector2,Sector3,Sector4,Speed,LapTime,LocalTime,Lap,Box,Cancelled,CurrentPosition,FinalPosition,SessionPosition,LapsRunningCount,CircuitName,CircuitLength,Constructor,CompetitorDOB,TeamName,Championship,WetWeather,TotalSmallSectors,SmallSector1,SmallSector2,SmallSector3,SmallSector4,SmallSector5,SmallSector6,SmallSector7,SmallSector8,SmallSector9,RaceRedFlagNotValid,TeamType,CompetitorType
1,RC2,54,Razgatlioglu Toprak,21988,26659,17595,25708,310.3,131950,26022023 161050933,7,False,False,5,21,21,105,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3175,8425,10388,18743,7916,17595,5876,19832,-1,False,R,P
1,RC2,54,Razgatlioglu Toprak,22138,26772,17586,25777,301.6,132273,26022023 161223206,8,False,False,6,21,21,106,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3181,8421,10536,18851,7921,17586,5955,19822,-1,False,R,P
1,RC2,54,Razgatlioglu Toprak,22112,27002,17662,25711,307.6,132487,26022023 161355693,9,False,False,6,21,21,107,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3126,8379,10607,19003,7999,17662,5908,19803,-1,False,R,P
1,RC2,54,Razgatlioglu Toprak,22149,26848,17618,25722,314.8,132337,26022023 161528030,10,False,False,6,21,21,108,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3109,8471,10569,18847,8001,17618,5950,19772,-1,False,R,P
1,RC2,54,Razgatlioglu Toprak,22189,26679,17723,25705,313.0,132296,26022023 161700326,11,False,False,5,21,21,109,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3131,8604,10454,18761,7918,17723,5893,19812,-1,False,R,P
1,RC2,54,Razgatlioglu Toprak,22387,26899,17695,25644,313.0,132625,26022023 161832951,12,False,False,6,21,21,110,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3159,8746,10482,18981,7918,17695,5886,19758,-1,False,R,P
1,RC2,54,Razgatlioglu Toprak,22040,26737,17653,25665,313.9,132095,26022023 162005046,13,False,False,6,21,21,111,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3116,8421,10503,18805,7932,17653,5902,19763,-1,False,R,P
1,RC2,54,Razgatlioglu Toprak,22094,26959,17747,25892,309.4,132692,26022023 162137738,14,False,False,7,21,21,112,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3159,8452,10483,18949,8010,17747,5940,19952,-1,False,R,P
1,RC2,54,Razgatlioglu Toprak,22017,26737,17687,25795,313.0,132236,26022023 162309974,15,False,False,7,21,21,113,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3155,8469,10393,18833,7904,17687,5854,19941,-1,False,R,P
1,RC2,54,Razgatlioglu Toprak,21993,26694,17885,25899,313.0,132471,26022023 162442445,16,False,False,7,21,21,114,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3131,8355,10507,18724,7970,17885,5996,19903,-1,False,R,P
1,RC2,55,Locatelli Andrea,27325,26520,17357,25517,228.8,136719,26022023 160141157,1,False,False,3,3,3,95,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,8263,8719,10343,18721,7799,17357,5916,19601,-1,False,R,P
1,RC2,55,Locatelli Andrea,21848,26390,17353,25444,310.3,131035,26022023 160312192,2,False,False,3,3,3,96,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3153,8405,10290,18624,7766,17353,5889,19555,-1,False,R,P
1,RC2,55,Locatelli Andrea,21724,26502,17458,25496,317.6,131180,26022023 160443372,3,False,False,3,3,3,97,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3135,8299,10290,18717,7785,17458,5884,19612,-1,False,R,P
1,RC2,55,Locatelli Andrea,21744,26426,17446,25565,315.7,131181,26022023 160614553,4,False,False,3,3,3,98,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3152,8336,10256,18646,7780,17446,5863,19702,-1,False,R,P
1,RC2,55,Locatelli Andrea,21756,26494,17390,25638,310.3,131278,26022023 160745831,5,False,False,3,3,3,99,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3167,8302,10287,18686,7808,17390,5871,19767,-1,False,R,P
1,RC2,55,Locatelli Andrea,21991,26615,17534,25619,316.7,131759,26022023 160917590,6,False,False,3,3,3,100,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3167,8522,10302,18809,7806,17534,5861,19758,-1,False,R,P
1,RC2,55,Locatelli Andrea,21800,26682,17506,25667,313.9,131655,26022023 161049245,7,False,False,3,3,3,101,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3172,8353,10275,18830,7852,17506,5889,19778,-1,False,R,P
1,RC2,55,Locatelli Andrea,21899,26707,17581,25792,312.1,131979,26022023 161221224,8,False,False,3,3,3,102,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3182,8411,10306,18853,7854,17581,5928,19864,-1,False,R,P
1,RC2,55,Locatelli Andrea,21834,26728,17563,25706,311.2,131831,26022023 161353055,9,False,False,3,3,3,103,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3181,8321,10332,18846,7882,17563,5894,19812,-1,False,R,P
1,RC2,55,Locatelli Andrea,21900,26753,17522,25649,312.1,131824,26022023 161524879,10,False,False,3,3,3,104,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3187,8367,10346,18833,7920,17522,5867,19782,-1,False,R,P
1,RC2,55,Locatelli Andrea,21872,26922,17579,25678,311.2,132051,26022023 161656930,11,False,False,3,3,3,105,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3181,8318,10373,18972,7950,17579,5875,19803,-1,False,R,P
1,RC2,55,Locatelli Andrea,21956,26784,17593,25673,311.2,132006,26022023 161828936,12,False,False,3,3,3,106,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3191,8373,10392,18894,7890,17593,5857,19816,-1,False,R,P
1,RC2,55,Locatelli Andrea,21955,26839,17685,25734,308.5,132213,26022023 162001149,13,False,False,3,3,3,107,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3196,8379,10380,18903,7936,17685,5902,19832,-1,False,R,P
1,RC2,55,Locatelli Andrea,21867,26686,17574,25762,311.2,131889,26022023 162133038,14,False,False,3,3,3,108,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3196,8324,10347,18781,7905,17574,5890,19872,-1,False,R,P
1,RC2,55,Locatelli Andrea,21927,26866,17797,25792,310.3,132382,26022023 162305420,15,False,False,3,3,3,109,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3199,8327,10401,18953,7913,17797,5901,19891,-1,False,R,P
1,RC2,55,Locatelli Andrea,21914,26723,17759,25767,310.3,132163,26022023 162437583,16,False,False,3,3,3,110,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3198,8313,10403,18851,7872,17759,5898,19869,-1,False,R,P
1,RC2,55,Locatelli Andrea,22092,26931,17802,25926,312.1,132751,26022023 162610334,17,False,False,3,3,3,111,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3190,8435,10467,18987,7944,17802,5924,20002,-1,False,R,P
1,RC2,55,Locatelli Andrea,22036,27019,17693,25760,308.5,132508,26022023 162742842,18,False,False,3,3,3,112,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3206,8385,10445,19094,7925,17693,5873,19887,-1,False,R,P
1,RC2,55,Locatelli Andrea,22008,26901,17799,25881,309.4,132589,26022023 162915431,19,False,False,3,3,3,113,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3205,8384,10419,18967,7934,17799,5906,19975,-1,False,R,P
1,RC2,55,Locatelli Andrea,22037,26971,17872,25960,310.3,132840,26022023 163048271,20,False,False,3,3,3,114,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3195,8386,10456,19002,7969,17872,5870,20090,-1,False,R,P
1,RC2,55,Locatelli Andrea,22111,26925,17805,26006,309.4,132847,26022023 163221118,21,False,False,3,3,3,115,Phillip Island,4445,Yamaha,16/10/1996,Pata Yamaha Prometeon WorldSBK,WorldSBK,False,8,3203,8396,10512,18955,7970,17805,5924,20082,-1,False,R,P
